T, DemandHome
1493, 0.222635
1494, 0.2646665
1495, 0.3450825
1496, 0.40285
1497, 0.4038405
1498, 0.392063
1499, 0.3797185
1500, 0.3870475
1501, 0.3943695
1502, 0.3898895
1503, 0.3999975
1504, 0.416584
1505, 0.456519
1506, 0.5451355
1507, 0.656712
1508, 0.7014805
1509, 0.6673345
1510, 0.594188
1511, 0.5089665
1512, 0.39732
1513, 0.306971
1514, 0.253771
1515, 0.2258025
1516, 0.21665
1517, 0.2274755
1518, 0.266413
1519, 0.3416455
1520, 0.3995355
1521, 0.397915
1522, 0.3851435
1523, 0.36911
1524, 0.3791165
1525, 0.3883495
1526, 0.38367
1527, 0.3913805
1528, 0.407841
1529, 0.447503
1530, 0.53298
1531, 0.6468105
1532, 0.6917645
1533, 0.659673
1534, 0.5923155
1535, 0.5095405
1536, 0.3999065
1537, 0.3038805
1538, 0.252952
1539, 0.2257745
1540, 0.2150015
1541, 0.226807
1542, 0.2667
1543, 0.343448
1544, 0.399483
1545, 0.3991785
1546, 0.387429
1547, 0.374451
1548, 0.3819375
1549, 0.3889865
1550, 0.3838835
1551, 0.391825
1552, 0.4081105
1553, 0.4483185
1554, 0.5371905
1555, 0.653079
1556, 0.694715
1557, 0.659974
1558, 0.593166
1559, 0.508368
1560, 0.3937255
1561, 0.3039085
1562, 0.2544745
1563, 0.228368
1564, 0.218897
1565, 0.2283645
1566, 0.2668505
1567, 0.344092
1568, 0.40068
1569, 0.401471
1570, 0.388913
1571, 0.3720605
1572, 0.3779895
1573, 0.3865505
1574, 0.379519
1575, 0.3876355
1576, 0.402115
1577, 0.438774
1578, 0.5245415
1579, 0.6396775
1580, 0.685622
1581, 0.6538595
1582, 0.5873105
1583, 0.5054945
1584, 0.399098
1585, 0.309057
1586, 0.2567845
1587, 0.227269
1588, 0.21861
1589, 0.2289385
1590, 0.265734
1591, 0.3401895
1592, 0.4001165
1593, 0.406903
1594, 0.399133
1595, 0.3878805
1596, 0.396767
1597, 0.4066545
1598, 0.411236
1599, 0.42665
1600, 0.4424665
1601, 0.471184
1602, 0.545006
1603, 0.6418965
1604, 0.66913
1605, 0.6319845
1606, 0.5639585
1607, 0.494025
1608, 0.410333
1609, 0.3107125
1610, 0.259707
1611, 0.233394
1612, 0.232036
1613, 0.2432745
1614, 0.2585555
1615, 0.285243
1616, 0.362789
1617, 0.459382
1618, 0.519183
1619, 0.5435675
1620, 0.564536
1621, 0.561022
1622, 0.529984
1623, 0.511105
1624, 0.503209
1625, 0.5115635
1626, 0.5783855
1627, 0.6839525
1628, 0.700385
1629, 0.6446405
1630, 0.561323
1631, 0.480438
1632, 0.4031475
1633, 0.311423
1634, 0.250691
1635, 0.224406
1636, 0.233632
1637, 0.2564695
1638, 0.274757
1639, 0.295715
1640, 0.361851
1641, 0.4601625
1642, 0.5359165
1643, 0.5825645
1644, 0.629671
1645, 0.6315715
1646, 0.5841255
1647, 0.5473685
1648, 0.530621
1649, 0.54005
1650, 0.610855
1651, 0.7434105
1652, 0.777371
1653, 0.696738
1654, 0.6033125
1655, 0.512554
1656, 0.3925565
1657, 0.298081
1658, 0.2502675
1659, 0.222719
1660, 0.210469
1661, 0.2218965
1662, 0.2650515
1663, 0.345121
1664, 0.403081
1665, 0.406448
1666, 0.394576
1667, 0.3831905
1668, 0.3914225
1669, 0.398601
1670, 0.394205
1671, 0.404404
1672, 0.419958
1673, 0.4538625
1674, 0.5274535
1675, 0.6523405
1676, 0.7160405
1677, 0.6730115
1678, 0.594601
1679, 0.5072935
1680, 0.395038
1681, 0.3037895
1682, 0.2528855
1683, 0.225295
1684, 0.214718
1685, 0.2258585
1686, 0.2666335
1687, 0.3419605
1688, 0.4003335
1689, 0.4002845
1690, 0.387023
1691, 0.3718925
1692, 0.383299
1693, 0.3926755
1694, 0.387968
1695, 0.3957835
1696, 0.4111975
1697, 0.443275
1698, 0.5129495
1699, 0.6418755
1700, 0.707602
1701, 0.666225
1702, 0.5948215
1703, 0.508571
1704, 0.396389
1705, 0.2997225
1706, 0.2514365
1707, 0.2251725
1708, 0.212121
1709, 0.224203
1710, 0.2663115
1711, 0.3435775
1712, 0.4001165
1713, 0.402143
1714, 0.3908695
1715, 0.378574
1716, 0.3866205
1717, 0.3935855
1718, 0.3883285
1719, 0.3962175
1720, 0.411467
1721, 0.4458335
1722, 0.518616
1723, 0.648473
1724, 0.7088655
1725, 0.6659695
1726, 0.5966065
1727, 0.5079585
1728, 0.390019
1729, 0.298935
1730, 0.2528015
1731, 0.2282
1732, 0.2170315
1733, 0.2264885
1734, 0.26698
1735, 0.344841
1736, 0.401674
1737, 0.403816
1738, 0.3907505
1739, 0.3747065
1740, 0.381437
1741, 0.3892805
1742, 0.382116
1743, 0.3908065
1744, 0.4044845
1745, 0.4353615
1746, 0.50456
