T, P
1508, 0.27467
1509, 0.25733
1510, 0.25531
1511, 0.24736
1512, 0.24342
1513, 0.24242
1514, 0.24213
1515, 0.24131
1516, 0.24236
1517, 0.24238
1518, 0.24375
1519, 0.24969
1520, 0.26317
1521, 0.25969
1522, 0.24981
1523, 0.24433
1524, 0.24332
1525, 0.24132
1526, 0.24233
1527, 0.24349
1528, 0.24986
1529, 0.25527
1530, 0.26176
1531, 0.28005
1532, 0.28196
1533, 0.25734
1534, 0.252
1535, 0.2483
1536, 0.24379
1537, 0.24602
1538, 0.2444
1539, 0.24434
1540, 0.24437
1541, 0.24436
1542, 0.24838
1543, 0.25934
1544, 0.27394
1545, 0.2822
1546, 0.26182
1547, 0.25343
1548, 0.25097
1549, 0.24909
1550, 0.25015
1551, 0.25058
1552, 0.25431
1553, 0.25648
1554, 0.26958
1555, 0.29637
1556, 0.3044
1557, 0.26426
1558, 0.25432
1559, 0.25068
1560, 0.24598
1561, 0.24432
1562, 0.24173
1563, 0.24155
1564, 0.24028
1565, 0.24003
1566, 0.24401
1567, 0.25142
1568, 0.26288
1569, 0.26178
1570, 0.25548
1571, 0.25423
1572, 0.25234
1573, 0.25093
1574, 0.2507
1575, 0.25055
1576, 0.25039
1577, 0.24919
1578, 0.25342
1579, 0.26661
1580, 0.26032
1581, 0.25728
1582, 0.25035
1583, 0.24829
1584, 0.24052
1585, 0.23422
1586, 0.22854
1587, 0.22841
1588, 0.2299
1589, 0.23234
1590, 0.24083
1591, 0.25166
1592, 0.25392
1593, 0.253
1594, 0.25233
1595, 0.25136
1596, 0.25071
1597, 0.24628
1598, 0.24321
1599, 0.24317
1600, 0.24449
1601, 0.24416
1602, 0.24947
1603, 0.25739
1604, 0.26424
1605, 0.25431
1606, 0.25009
1607, 0.24842
1608, 0.2409
1609, 0.23921
1610, 0.23683
1611, 0.2294
1612, 0.22838
1613, 0.22588
1614, 0.22464
1615, 0.23004
1616, 0.23389
1617, 0.24696
1618, 0.2461
1619, 0.24757
1620, 0.24592
1621, 0.24242
1622, 0.24095
1623, 0.24064
1624, 0.24031
1625, 0.24055
1626, 0.24389
1627, 0.25451
1628, 0.25429
1629, 0.24766
1630, 0.24239
1631, 0.24297
1632, 0.22897
1633, 0.22438
1634, 0.22373
1635, 0.2184
1636, 0.2184
1637, 0.21994
1638, 0.21835
1639, 0.21584
1640, 0.21797
1641, 0.21837
1642, 0.22456
1643, 0.22858
1644, 0.23144
1645, 0.22454
1646, 0.21997
1647, 0.2184
1648, 0.21842
1649, 0.2209
1650, 0.23533
1651, 0.24932
1652, 0.25188
