T, PV
1693, 0.28
1694, 0.24
1695, 0.22
1696, 0.18
1697, 0.1
1698, 0.02
1699, 0
1700, 0
1701, 0
1702, 0
1703, 0
1704, 0
1705, 0
1706, 0
1707, 0
1708, 0
1709, 0
1710, 0
1711, 0
1712, 0.02
1713, 0.08
1714, 0.16
1715, 0.24
1716, 0.3
1717, 0.34
1718, 0.28
1719, 0.26
1720, 0.2
1721, 0.12
1722, 0.04
1723, 0
1724, 0
1725, 0
1726, 0
1727, 0
1728, 0
1729, 0
1730, 0
1731, 0
1732, 0
1733, 0
1734, 0
1735, 0
1736, 0.04
1737, 0.14
1738, 0.28
1739, 0.44
1740, 0.66
1741, 0.76
1742, 0.68
1743, 0.52
1744, 0.4
1745, 0.18
1746, 0.06
1747, 0
1748, 0
1749, 0
1750, 0
1751, 0
1752, 0
1753, 0
1754, 0
1755, 0
1756, 0
1757, 0
1758, 0
1759, 0
1760, 0.08
1761, 0.18
1762, 0.34
1763, 0.48
1764, 0.6
1765, 0.64
1766, 0.7
1767, 0.68
1768, 0.58
1769, 0.38
1770, 0.14
1771, 0
1772, 0
1773, 0
1774, 0
1775, 0
1776, 0
1777, 0
1778, 0
1779, 0
1780, 0
1781, 0
1782, 0
1783, 0
1784, 0.1
1785, 0.4
1786, 0.76
1787, 1.06
1788, 1.28
1789, 1.32
1790, 1.12
1791, 1.04
1792, 0.76
1793, 0.36
1794, 0.1
1795, 0
1796, 0
1797, 0
1798, 0
1799, 0
1800, 0
1801, 0
1802, 0
1803, 0
1804, 0
1805, 0
1806, 0
1807, 0
1808, 0.16
1809, 0.38
1810, 0.66
1811, 0.76
1812, 0.82
1813, 0.84
1814, 0.76
1815, 0.58
1816, 0.38
1817, 0.2
1818, 0.06
1819, 0
1820, 0
1821, 0
1822, 0
1823, 0
1824, 0
1825, 0
1826, 0
1827, 0
1828, 0
1829, 0
1830, 0
1831, 0
1832, 0.02
1833, 0.08
1834, 0.14
1835, 0.22
1836, 0.24
1837, 0.28
1838, 0.26
1839, 0.2
1840, 0.14
1841, 0.1
1842, 0.04
1843, 0
1844, 0
1845, 0
1846, 0
1847, 0
1848, 0
1849, 0
1850, 0
1851, 0
1852, 0
1853, 0
1854, 0
1855, 0
1856, 0.04
1857, 0.14
1858, 0.26
1859, 0.32
1860, 0.46
1861, 0.52
1862, 0.56
1863, 0.56
1864, 0.46
1865, 0.26
1866, 0.12
1867, 0.02
1868, 0
1869, 0
1870, 0
1871, 0
1872, 0
1873, 0
1874, 0
1875, 0
1876, 0
1877, 0
1878, 0
1879, 0
1880, 0.08
1881, 0.22
1882, 0.4
1883, 0.64
1884, 0.76
1885, 0.78
1886, 0.56
1887, 0.44
1888, 0.34
1889, 0.14
1890, 0.06
1891, 0
1892, 0
1893, 0
1894, 0
1895, 0
1896, 0
1897, 0
1898, 0
1899, 0
1900, 0
1901, 0
1902, 0
1903, 0
1904, 0.04
1905, 0.12
